date,symbol,Risk_Label
2022-01-03,AAPL,High Risk
2022-01-04,AAPL,High Risk
2022-01-05,AAPL,High Risk
2022-01-06,AAPL,High Risk
2022-01-07,AAPL,High Risk
2022-01-10,AAPL,High Risk
2022-01-11,AAPL,High Risk
2022-01-12,AAPL,High Risk
2022-01-13,AAPL,High Risk
2022-01-14,AAPL,High Risk
2022-01-18,AAPL,High Risk
2022-01-19,AAPL,High Risk
2022-01-20,AAPL,High Risk
2022-01-21,AAPL,High Risk
2022-01-24,AAPL,High Risk
2022-01-25,AAPL,High Risk
2022-01-26,AAPL,High Risk
2022-01-27,AAPL,High Risk
2022-01-28,AAPL,High Risk
2022-01-31,AAPL,High Risk
2022-02-01,AAPL,High Risk
2022-02-02,AAPL,High Risk
2022-02-03,AAPL,High Risk
2022-02-04,AAPL,High Risk
2022-02-07,AAPL,High Risk
2022-02-08,AAPL,High Risk
2022-02-09,AAPL,High Risk
2022-02-10,AAPL,High Risk
2022-02-11,AAPL,High Risk
2022-02-14,AAPL,High Risk
2022-02-15,AAPL,High Risk
2022-02-16,AAPL,High Risk
2022-02-17,AAPL,High Risk
2022-02-18,AAPL,High Risk
2022-02-22,AAPL,High Risk
2022-02-23,AAPL,High Risk
2022-02-24,AAPL,High Risk
2022-02-25,AAPL,High Risk
2022-02-28,AAPL,High Risk
2022-03-01,AAPL,High Risk
2022-03-02,AAPL,High Risk
2022-03-03,AAPL,High Risk
2022-03-04,AAPL,High Risk
2022-03-07,AAPL,High Risk
2022-03-08,AAPL,High Risk
2022-03-09,AAPL,High Risk
2022-03-10,AAPL,High Risk
2022-03-11,AAPL,High Risk
2022-03-14,AAPL,High Risk
2022-03-15,AAPL,High Risk
2022-03-16,AAPL,High Risk
2022-03-17,AAPL,High Risk
2022-03-18,AAPL,High Risk
2022-03-21,AAPL,High Risk
2022-03-22,AAPL,High Risk
2022-03-23,AAPL,High Risk
2022-03-24,AAPL,High Risk
2022-03-25,AAPL,High Risk
2022-03-28,AAPL,High Risk
2022-03-29,AAPL,High Risk
2022-03-30,AAPL,High Risk
2022-03-31,AAPL,High Risk
2022-04-01,AAPL,High Risk
2022-04-04,AAPL,High Risk
2022-04-05,AAPL,High Risk
2022-04-06,AAPL,High Risk
2022-04-07,AAPL,High Risk
2022-04-08,AAPL,High Risk
2022-04-11,AAPL,High Risk
2022-04-12,AAPL,High Risk
2022-04-13,AAPL,High Risk
2022-04-14,AAPL,High Risk
2022-04-18,AAPL,High Risk
2022-04-19,AAPL,High Risk
2022-04-20,AAPL,High Risk
2022-04-21,AAPL,High Risk
2022-04-22,AAPL,High Risk
